language,model,n_params,R2,RSS,RSE,AIC,BIC
arabic,model5p,4,0.5293825497090752,238.3999202025687,0.585259447579193,2437.443075604047,3929.4006804146165
czech,null,0,-1.3251537999130631,1556.4147337489114,1.4911236097793172,3822.7794590368076,5295.106042731449
czech,model1,1,-1.2686169291525973,1518.5700033680923,1.4739366591562577,3652.7763774418677,5130.010716415491
czech,model2,2,0.4803847043290139,347.82082032330857,0.7059112060561764,2598.882451128383,4081.024545380988
czech,model3,2,0.3786482783029117,415.92129283050446,0.7719299046507607,2792.082729747059,4274.224823999664
czech,model4,1,0.3875328466496232,409.9741279253967,0.7658428066328232,2888.7235351674667,4365.95787414109
czech,model5,3,0.5119513963653118,326.6906634352586,0.6846237679465904,2559.3187902198047,4046.368639751392
czech,model1p,2,0.46015771434347097,361.3603914407408,0.7195194904886444,2635.6875606028625,4117.829654855467
czech,model2p,3,0.4978443013919821,336.13369058800293,0.6944478423335106,2574.0325422540654,4061.082391785653
czech,model3p,3,0.4036163528804728,399.208127814362,0.7568037901451985,2741.9196206682536,4228.969470199841
czech,model4p,2,0.4978517571460941,336.1286998447878,0.6939450568294127,2571.8999526573525,4054.0420469099577
czech,model5p,4,0.5158647110314027,324.07116333839303,0.6823631639788027,2544.2275167239895,4036.1851215345587
german,null,0,-2.8182850050878137,2305.155104763656,1.8146841932112971,4263.312163138504,5735.638746833145
german,model1,1,-1.8150756301477053,1699.5027742779796,1.5592736902247637,3646.1853722078463,5123.41971118147
german,model2,2,0.43041317069023455,343.86798927791267,0.7018885588957533,2630.2884256887346,4112.430519941339
german,model3,2,0.3441083463097794,395.9714876341758,0.7531894813998462,2774.0497443177064,4256.191838570312
german,model4,1,0.26627542440372953,442.96037322321143,0.7960564221303003,3025.353190522089,4502.587529495712
german,model5,3,0.45399347864683814,329.6322087676483,0.6876990608048844,2566.007145383973,4053.05699491556
german,model1p,2,0.413621850767829,354.00515734768135,0.7121591904430461,2669.5270666845186,4151.669160937124
german,model2p,3,0.442802234064545,336.38852856649953,0.6947110384358928,2606.2356233081896,4093.285472839777
german,model3p,3,0.36313573084835027,384.48437429901526,0.7427163050281613,2768.861881428601,4255.911730960188
german,model4p,2,0.44280902573979364,336.3844283317479,0.6942089851683454,2604.169422158722,4086.3115164113274
